_bronrij,Deelnemer ID,track_id,track_genre,Studietaak,Energieverschil,Stemmingsverschil,Moeilijkheid studie,energy,valence,tempo,danceability
143,7,3CFS6vCzVVsWL5veYusCe7,chill,,,,,0.597,0.81,78.681,0.665
144,7,,,"Writing an assignment (e.g., essay)",-1.0,0.0,2.0,,,,
145,7,,,"Writing an assignment (e.g., essay)",,,2.0,,,,
146,7,,,"Writing an assignment (e.g., essay)",,,2.0,,,,
147,7,4JLI9AgtAXutJvjlXgZBoR,chill,"Writing an assignment (e.g., essay)",0.0,0.0,2.0,0.146,0.889,80.087,0.87
148,7,,,Searching for information,0.0,0.0,-1.0,,,,
149,7,,,,1.0,0.0,,,,,
150,7,,,,0.0,0.0,,,,,
151,7,,,,0.0,0.0,,,,,
152,7,,,,,,,,,,
153,7,0vTKR5TQD03kASmEGlyDF3,metal,,,,,0.915,0.459,123.257,0.51
154,7,1FlY15vdP570PJucy6JdYm,chill,Searching for information,,,0.0,0.446,0.545,80.009,0.788
155,7,,,Searching for information,,,1.0,,,,
156,7,23gcQr3NRKzLXsP9H5jFQ1,chill,,0.0,0.0,,0.277,0.236,84.938,0.614
156,7,23gcQr3NRKzLXsP9H5jFQ1,sad,,0.0,0.0,,0.277,0.236,84.938,0.614
157,7,,,,,,,,,,
158,7,,,,,,,,,,
159,7,,,,,,,,,,
160,7,,,,,,,,,,
161,7,,,,,,,,,,
162,8,,,Maths / arithmetics,0.0,0.0,-1.0,,,,
163,8,6wNeKPXF0RDKyvfKfri5hf,electro,,0.0,0.0,,0.708,0.555,130.029,0.725
164,8,,,,0.0,-2.0,,,,,
165,8,,,,,,,,,,
166,8,,,,0.0,1.0,,,,,
167,8,,,,0.0,1.0,,,,,
168,8,,,,-1.0,-1.0,,,,,
169,8,,,,-1.0,1.0,,,,,
170,8,,,,0.0,3.0,,,,,
171,8,,,Planning / organising work,2.0,0.0,1.0,,,,
172,8,,,,,,,,,,
173,8,,,,0.0,-2.0,,,,,
174,8,,,,,,,,,,
175,8,7Eta1k8UzwooyJCB9stY1d,jazz,,,,,0.848,0.561,89.999,0.554
176,8,7Eta1k8UzwooyJCB9stY1d,jazz,,,,,0.848,0.561,89.999,0.554
177,8,7Eta1k8UzwooyJCB9stY1d,jazz,,,,,0.848,0.561,89.999,0.554
178,8,,,,,,,,,,
179,8,,,,,,,,,,
180,8,,,,,,,,,,
181,8,,,,1.0,-1.0,,,,,
182,8,,,,,,,,,,
183,8,,,,,,,,,,
184,8,,,,,,,,,,
185,8,4DpNNXFMMxQEKl7r0ykkWA,electro,,,,,0.729,0.446,123.97,0.68
185,8,4DpNNXFMMxQEKl7r0ykkWA,pop,,,,,0.729,0.446,123.97,0.68
186,8,,,,-1.0,0.0,,,,,
187,8,,,,,,,,,,
188,8,,,,,,,,,,
189,8,,,"Writing an assignment (e.g., essay)",-1.0,1.0,2.0,,,,
190,8,,,Planning / organising work,0.0,0.0,-1.0,,,,
191,8,,,,,,,,,,
192,8,,,,-2.0,0.0,,,,,
193,8,1foMv2HQwfQ2vntFf9HFeG,alternative,,,,,0.703,0.852,92.761,0.676
194,8,1foMv2HQwfQ2vntFf9HFeG,alternative,,0.0,0.0,,0.703,0.852,92.761,0.676
195,8,1foMv2HQwfQ2vntFf9HFeG,alternative,,,,,0.703,0.852,92.761,0.676
196,8,,,Maths / arithmetics,,,2.0,,,,
197,8,1foMv2HQwfQ2vntFf9HFeG,alternative,Maths / arithmetics,,,2.0,0.703,0.852,92.761,0.676
198,8,1foMv2HQwfQ2vntFf9HFeG,alternative,Maths / arithmetics,,,1.0,0.703,0.852,92.761,0.676
199,8,1foMv2HQwfQ2vntFf9HFeG,alternative,,-1.0,-1.0,,0.703,0.852,92.761,0.676
200,8,,,,,,,,,,
201,8,1r9xUipOqoNwggBpENDsvJ,rock,,,,,0.783,0.555,77.011,0.728
